Timestamp,How do you identify yourself?,How old are you,Where do you live?,Pick your highest education level,Are you currently employed?,How long have you been using a smartphone?,Select your monthly income range,How many bank account do you have?,How many bank apps do you use?,How often do you visit a bank?,How long have you been using this mobile banking app?,Select all the services that you utilize,What is the highest transfer you have conducted through the mobile app (in LKR)?,Do you feel a sense of security when you operate the application?,What is your satisfaction with the additional charges related to the application?,What is your overall rating of the mobile app? (1 - worst and 5 - best),Do you see yourself continue using the app in the future?,Which bank does the app belong to?
11/12/2020 15:21:17,Male,40 +,Uva,Degree / Diploma,Yes,More than 5 years,50000 - 100000,4,1,Every few months,Less than 6 months,"Check balance, Transfer money",Below 50000,Maybe,Unfair,1,Maybe,Peoples Bank 
11/12/2020 15:38:25,Female,20 - 30,Uva,Degree / Diploma,No,2-5 years,0 - 50000,3,1,Every few months,1-2 years,Check balance,50000 to 100000,Yes,Fair,4,Yes,Bank of ceylon
11/12/2020 19:06:11,Female,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,0 - 50000,2,1,Every few months,Less than 6 months,"Pay utility bills, Transfer money, As a mode to recharge your mobile",Below 50000,Maybe,Unfair,2,Yes,Bank of Ceylon 
12/12/2020 00:07:24,Female,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,0 - 50000,1,3,Never,6 months to 1 year,Check balance,Below 50000,Yes,Unfair,2,Yes,
12/12/2020 00:07:44,Female,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,0 - 50000,1,3,Never,6 months to 1 year,Check balance,Below 50000,Yes,Unfair,2,Yes,
12/12/2020 00:10:08,Female,20 - 30,Uva,Degree / Diploma,Yes,More than 5 years,0 - 50000,3,3,Never,Less than 6 months,Check balance,Below 50000,Yes,Unfair,2,No,
12/12/2020 00:10:13,Female,20 - 30,Uva,Degree / Diploma,Yes,More than 5 years,0 - 50000,3,3,Never,Less than 6 months,Check balance,Below 50000,Yes,Unfair,2,No,
12/12/2020 00:10:16,Female,20 - 30,Uva,Degree / Diploma,Yes,More than 5 years,0 - 50000,3,3,Never,Less than 6 months,Check balance,Below 50000,Yes,Unfair,2,No,
12/12/2020 00:10:21,Female,20 - 30,Uva,Degree / Diploma,Yes,More than 5 years,0 - 50000,3,3,Never,Less than 6 months,Check balance,Below 50000,Yes,Unfair,2,No,
12/12/2020 00:10:24,Female,20 - 30,Uva,Degree / Diploma,Yes,More than 5 years,0 - 50000,3,3,Never,Less than 6 months,Check balance,Below 50000,Yes,Unfair,2,No,
